roll_number,schoolname,address1,address2,address3,address4,county,local_auth,principalfirstname,principallastname,eircode,latitude,longitude,phone_no,email,schooltype
05070W,S N BAILE MUIRNE,Ballymurn,Enniscorthy,Co. Wexford,NULL,Wexford,Wexford County Council,Emer,O'Gorman,Y21PR60,52.5068183,-6.5819746,539138435,office@ballymurnns.ie,primary
05115S,S N AN LEANA MOR,Lenamore,Co. Longford,NULL,NULL,Longford,Longford County Council,Margo,Smith,N39NN60,53.6212481,-7.6308386,449357867,lenamore.ns@hotmail.com,primary
05120L,LEHINCH N S,Lissatava,Hollymount,Claremorris,Co. Mayo,Mayo,Mayo County Council,Sheila,Jennings,F12FT92,53.6595962,-9.0749359,949540444,Lehinchprimary@gmail.com,primary
05144C,NEW INN B N S,New Inn,Cashel,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,Eilish,Hennessy,E25VP64,52.5159097,-7.8915829,527462336,newinnbns@gmail.com,primary
05164I,SCOIL NAOMH CHOLMCILLE,Oileán Thoraí,Co. Dhún na nGall,NULL,NULL,Donegal,Donegal County Council,Anna,Uí Bhaoill,F92XV52,55.265006,-8.2245634,749165174,scoilcholmcille@yahoo.ie,primary
05220P,S N MICHIL NAOFA,Woodbrook,Carrick-on-Shannon,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Catherine,Hand,N41XD40,53.9451156,-8.0861878,719621771,woodbrookns@gmail.com,primary
05230S,COMHSCOIL CHONMHA S N,Main Street,Convoy,Co. Donegal,NULL,Donegal,Donegal County Council,Valerie,Magee,F93NR7V,54.8329204,-7.4822384,749147493,convoyjoint@gmail.com,primary
05253H,O CALLAGHANS MILLS N S,Iragh,O'Callaghan's Mills,Co. Clare,NULL,Clare,Clare County Council,Sharon,Brady,V94A5D1,52.8404847,-8.672218,656835730,ocallaghansmillsns@gmail.com,primary
05257P,PRESENTATION CONVENT,Dunmanway Road,Bandon,Co. Cork,NULL,Cork,Cork County Council,Carol,Leonard,P72DF21,51.7488353,-8.7439316,238841809,presprimbandon@eircom.net,primary
05348S,Tahilla Community National School,Tahilla,Sneem,Co. Kerry,NULL,Kerry,Kerry County Council,Máire,de Cógáin (Care taker Principal),V93D735,51.8339385,-9.8228468,646645561,info@tahillacns.ie,primary
05477G,LARAGH N S,Laragh,Bandon,Co Cork,NULL,Cork,Cork County Council,Brid,Lynch,P72RY79,51.7578958,-8.7899784,238843313,laraghns@gmail.com,primary
05501A,SCOIL NAOIMH EANNA,Killanny,Carrickmacross,Co. Monaghan,NULL,Monaghan,Monaghan County Council,John,Jones,A81E267,53.9583425,-6.6496118,429662175,killannyns@gmail.com,primary
05508O,ST COLUMBAS N.S,With Facility for Deaf Children,Douglas West,Co. Cork,NULL,Cork,Cork County Council,Triona,Fitzgerald,T12WK3D,41.3511757,-88.8415563,214893947,office@stcolumbasgns.ie,primary
05513H,CASTLEPOLLARD MIXED N S,Water Street,Castlepollard,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Sean,Beirne,N91Y206,53.6815554,-7.2961493,449661865,cpns3h@gmail.com,primary
05548D,SN BAILE MHIC AIRT,S.N. Bhaile Mhic Airt,Dún Garbhán,Co. Phort Láirge,NULL,Waterford,Waterford County Council,Deirdre,Ní Fhlaithmhin,X35CR20,52.0067506,-7.6399254,5846446,anseanphobal.ias@gmail.com,primary
05565D,TRAFRASK MIXED N S,Trafrask,Adrigole (Beara),NULL,NULL,Cork,Cork County Council,Louisa,O Donoghue,P75PD68,51.6872472,-9.6648601,2760201,trafraskns@gmail.com,primary
05600C,CLOCHAR SAN DOMINIC,Convent Road,Dun Laoghaire,Co. Dublin,NULL,Dublin,Dun Laoghaire Rathdown,Peter,Mooney,A96V2P2,53.2923398,-6.1379416,12809011,mail@dominicandunlaoghaire.ie,primary
05627W,BAILIEBORO MODEL N S,Bailieborough,Co. Cavan,NULL,NULL,Cavan,Cavan County Council,Niall,McHugo,A82FX62,53.9171451,-6.9739934,429665689,themodelns@gmail.com,primary
05630L,SCOIL MHICHIL NA BUACHAILLI,Patrick Street,Trim,Co. Meath,NULL,Meath,Meath County Council,Fergal,Fitzpatrick,C15FK19,53.5515853,-6.7915623,469431813,scoilmhichil@gmail.com,primary
05636A,DUNMANWAY MODEL N S,Bantry Road,Dunmanway,Co. Cork,NULL,Cork,Cork County Council,Fiona,Buckley,P47NW66,51.7171333,-9.1157026,238845034,anmhodhscoil@gmail.com,primary
05656G,S N AN GHOILIN,Goleen,Co. Cork,NULL,NULL,Cork,Cork County Council,Mary,Anne Collins,P81YW27,51.4938734,-9.7095644,2835660,mgoleenns@gmail.com,primary
05754G,S N CREACHMHAOIL,Crinnage,Craughwell,Co. Galway,NULL,Galway,Galway County Council,Liam,Mitchell,H91P218,53.2368366,-8.7514183,91846246,office@craughwellns.ie,primary
05756K,BURRISCARRA N S,Carrownacon,Ballyglass,Claremorris,Co. Mayo,Mayo,Mayo County Council,James,Rafter,F12YD72,53.736857,-9.2428788,949360184,carnaconschool@eircom.net,primary
05916G,St. Anne's National School,Main Street,Tyrellspass,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Michael,McConigley,N91A5R7,53.3888652,-7.3757224,449223298,tyrrellspassns@yahoo.ie,primary
05927L,CHURCH HILL MIXED N S,Church Hill,Cuffesgrange,Co. Kilkenny,NULL,Kilkenny,Kilkenny County Council,James,Fennelly,R95T253,52.5999798,-7.3082575,567729144,churchhillns1828@gmail.com,primary
05933G,PRESENTATION PRIMARY SCHOOL,George's Hill,Halston Street,Dublin 7,NULL,Dublin,Dublin City Council,Marie,Berkery,D07YF43,53.3483489,-6.2715493,18733061,secretary@georgeshillschool.ie,primary
05940D,SCOIL URSULA,Blackrock Road,Cork,NULL,NULL,Cork,Cork City Council,Linda,Keane,T12XC91,51.8956964,-8.4145188,214358476,sublackrock.ias@eircom.net,primary
05970M,SCOIL BARR DUBH,Barraduff,Headford,Co. Kerry,NULL,Kerry,Kerry County Council,Claire,O'Halloran,V93H330,52.0593017,-9.3358106,647754478,barraduff.ias@gmail.com,primary
06028F,ROCKCORRY N S,Rockcorry,Co. Monaghan,NULL,NULL,Monaghan,Monaghan County Council,Julie,Coalter,H18C425,54.1178982,-7.0148382,429742554,rockcorryns@gmail.com,primary
06044D,S N CILL CUILE,Kilcooley,Loughrea,Co. Galway,NULL,Galway,Galway County Council,Sinead,Duffy,H62YY62,53.2005581,-8.455274,91843292,kilcooleyns.ias@eircom.net,primary
06100K,S N CILL RONAIN,Keadue West,Boyle,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Marie,Jinks,F52P602,54.0656885,-8.1770617,719647503,scoilcillronain@gmail.com,primary
06117E,DOOHAMLET N S,Doohamlet,Castleblayney,Co. Monaghan,NULL,Monaghan,Monaghan County Council,Fiona,Gallagher,A75YV07,54.1291448,-6.8306647,429741498,doohamletns@eircom.net,primary
06176U,BLESSINGTON 1 N S,Blessington Demesne,Blessington,Co Wicklow,NULL,Wicklow,Wicklow County Council,Lilian,Murphy,W91YX06,53.1759855,-6.5459079,45900879,blessington1ns@gmail.com,primary
06200O,BOOTERSTOWN BOYS,Grotto Place,Booterstown,Blackrock,Co. Dublin,Dublin,Dun Laoghaire Rathdown,Robert,O'Connor,A94AC97,53.3089988,-6.1987888,12886830,booterstownbns.ias@eircom.net,primary
06209J,ATHY MODEL SCHOOL,Tomard,Athy,Co. Kildare,NULL,Kildare,Kildare County Council,Karyn,Cole,R14Y478,53.0032201,-6.9856007,598638545,office@athymodelschool.ie,primary
06227L,SN MHAOLCHEADAIR,An Charraig,Baile na nGall,Co. Chiarraí,NULL,Kerry,Kerry County Council,Deirdre,Ághas,V92A313,55.104545,-8.2860586,669155341,scoilmch@gmail.com,primary
06295F,FREEMOUNT MIXED N S,Freemount,Charleville,Co. Cork,NULL,Cork,Cork County Council,Laura,O'Hara,P56FN30,52.2780563,-8.8845035,2228834,freemountns@gmail.com,primary
06342L,VICARSTOWN MIXED N S,Gilclough,Vicarstown,Co. Cork,NULL,Cork,Cork County Council,Peter,Mulcahy,P32DX40,51.9547081,-8.6565838,217332179,office@vicarstownns.com,primary
06489S,S N AN TSAILEAIN,Sylane,Tuam,Co. Galway,NULL,Galway,Galway County Council,Sinéad,Cleary,H54DA29,53.5141156,-8.8565177,9355540,office@sylanens.ie,primary
06516S,KILDIMO NATIONAL SCHOOL,Kildimo,Co. Limerick,NULL,NULL,Limerick,Limerick County Council,Aoife,Heavin,V94KW80,52.6211635,-8.8115252,61394500,info@kildimons.ie,primary
06539H,KNOCKEA NATIONAL SCHOOL,Knockea,Ballyneety,Co. Limerick,NULL,Limerick,Limerick County Council,Niamh,Ambrose,V94FX90,52.6061053,-8.5722058,61351414,principal@knockeans.ie,primary
06576N,DROMIN N S,Dromin,Dunleer,Co. Louth,NULL,Louth,Louth County Council,Seán,Clare,A92VP44,53.8444493,-6.4444094,416851564,secretary@drominns.ie,primary
06621P,Ringville National School,Ballinlaw,Slieverue,Co Kilkenny,via Waterford,Kilkenny,Kilkenny County Council,Aidín,Hynes,X91XN29,52.2987762,-7.0342952,51832635,ringvillens@gmail.com,primary
06658P,KILADANGAN N S,Kiladangan National School,Puckane,Nenagh,NULL,Tipperary,Tipperary (Nr) County Council,Darragh,Egan,E45DT27,52.9311708,-8.2390214,6724030,kiladanganns@gmail.com,primary
06789H,LISRONAGH N S,Lisronagh,Clonmel,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,Angela,McGrath,E91X525,52.4177263,-7.7038901,526122167,lisnsadmin@eircom.net,primary
06852L,GARRACLOON N S,Garracloon,Cloghans,Ballina,Co. Mayo,Mayo,Mayo County Council,Sinead,Mc Hale,F26W266,54.0907066,-9.2285528,9673208,garracloon.ns@gmail.com,primary
06936R,ST JOHNS CONVENT,Cathedral Place,Limerick,NULL,NULL,Limerick,Limerick City Council,Aoibheann,Ruane,V94T223,52.6618831,-8.6163235,61416752,johnsns@eircom.net,primary
06959G,CLONROCHE N S,Clonroche,Enniscorthy,Co. Wexford,NULL,Wexford,Wexford County Council,Norma,Uí Dhubhghaill,Y21PY59,52.4474669,-6.7245608,539244441,clonrochens.ias@eircom.net,primary
06998Q,St Patrick's NS,Corlough,Belturbet,C/O Belturbet Post Office,Co. Cavan,Cavan,Cavan County Council,Breda,Maguire,H14RP30,54.1235639,-7.7688977,499523655,stpatrickscorlough@gmail.com,primary
07006A,BALLYCLOUGH MIXED N S,Ballyclough,Co. Cork,NULL,NULL,Cork,Cork County Council,Billy,O'Connor,P51CY80,52.0618477,-8.0221901,2227857,ballycloughns@gmail.com,primary
07054L,CULLENS N S,Faranoo,Ballina,Co. Mayo,NULL,Mayo,Mayo County Council,Clair,Cooke,F26TF97,54.1380922,-9.1638727,9622084,info@culleensballina.ie,primary
07075T,S N NAOMH FEICHIN,Cross,Claremorris,Co. Mayo,NULL,Mayo,Mayo County Council,Sinead,Muldoon,F12RD90,53.7238764,-9.0017356,949546321,crossns1854@gmail.com,primary
07117J,S N LOCH GUIR,Patrickswell,Bruff,Co. Limerick,NULL,Limerick,Limerick County Council,Carmel,Gleeson,V35XE27,52.5163151,-8.5338763,61385004,loughgurns@gmail.com,primary
07120V,KILLYON N S,Hill of Down,Co. Meath,NULL,NULL,Meath,Meath County Council,Jane,Burke,A83XW44,53.4860249,-7.0024289,469546532,school@killyonns.com,primary
07143K,MONREAGH N S,Monreagh,Carrigans,Co. Donegal,NULL,Donegal,Donegal County Council,Kerry,Harris,F93CV60,54.956356,-7.4571077,749140445,monreaghns@gmail.com,primary
07183W,ST JOSEPHS GIRLS N.S.,Davitt Road,Mountmellick,Co. Laois,NULL,Laois,Laois County Council,Yvonne,Ní Mhurchú,R32EC56,53.1133662,-7.3188819,578624540,stjosephsgns.ias@eircom.net,primary
07191V,S N SEOSAMH,Blueball,Tullamore,Co. Offaly,NULL,Offaly,Offaly County Council,John,Healy,R35FN20,53.2755255,-7.4933852,579354960,gortnamonans@gmail.com,primary
07222G,BANOGUE NATIONAL SCHOOL,Dohora,Banogue,Croom,Co. Limerick,Limerick,Limerick County Council,Sheila,Cagney,V35HY63,52.4807181,-8.7081204,61397188,banoguenationalschool@gmail.com,primary
07242M,CLOGHROE MIXED N S,Cloghroe,Co. Cork,NULL,NULL,Cork,Cork County Council,Emma,Dineen,T23AH2R,51.9178279,-8.6165928,214385547,oifig@cloghroens.ie,primary
07245S,CULLEN N S,Cullen,Co. Tipperary,NULL,NULL,Tipperary,Tipperary (Sr) County Council,Margaret,McCarthy,E34XR86,52.5115891,-8.2778414,6247558,cullenns@gmail.com,primary
07246U,Ravenswell Primary School,Ravenswell,Bray,Co. Wicklow,NULL,Wicklow,Wicklow County Council,Emer,Breen,A98EF88,53.2094729,-6.1102349,12860498,office@ravenswell.ie,primary
07315N,HOLY FAMILY SNR,Station Road,Ennis,Co. Clare,NULL,Clare,Clare County Council,Sarah,Barnes,V95TF67,52.8420655,-8.9817448,656828893,lucy.finn@hfss.ie,primary
07317R,GLENGURT N S,Tournafulla,Ballagh,Co. Limerick,NULL,Limerick,Limerick County Council,Bernard,Dalton,V42TD93,52.362988,-9.163824,6981120,glengurtns.bdalton@gmail.com,primary
07358I,S N SCEICHIN A RINCE,Skeheenarinky,Burncourt,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,Catherine,Kavanagh,E21YP73,52.3113101,-8.0792299,527467421,sceichinarince@gmail.com,primary
07374G,BALLINTUBBER N S,Ballintubber,Claremorris,Co. Mayo,NULL,Mayo,Mayo County Council,Brian,McConnell,F12KW18,53.758423,-9.3054749,949030969,ballintubber07374G@gmail.com,primary
07441S,BALLYCURRANE N S,Clashmore,via Youghal,Co. Waterford,NULL,Waterford,Waterford County Council,Kevin,Gough,P36FR50,52.0087143,-7.7721539,2496533,ballycurranens1@gmail.com,primary
07442U,St Josephs National School,Borrin-in-Ossory,Portlaoise,Co. Laois,NULL,Laois,Laois County Council,Kevin,Horgan,R32FP79,52.93938,-7.630777,50541331,borrisinossoryns@gmail.com,primary
07455G,SCOIL MHUIRE GAN SMAL,Ballygar,Co. Roscommon,NULL,NULL,Galway,Galway County Council,Claire,O'Connor,F42AD83,53.5225627,-8.3257391,906624951,ballygarns@gmail.com,primary
07464H,BROWNEKNOWE N S,Brownknowe,Ramelton,Co. Donegal,NULL,Donegal,Donegal County Council,Sara,Martin,F92P223,55.0606118,-7.6213522,749151392,brownknowens@gmail.com,primary
07481H,KILMOGANNY MIXED N S,Cottresllstown,Kilmoganny,Co. Kilkenny,NULL,Kilkenny,Kilkenny County Council,Thomas,Hickey,R95TK70,52.4613287,-7.3289369,51648349,kilmoganny75@gmail.com,primary
07518E,S N CNOC AN MHARCAIGH,Melview,Longford,NULL,NULL,Longford,Longford County Council,Mary,O'Boyle,N39XW13,53.75998,-7.79188,433346197,melviewschool@gmail.com,primary
07546J,GOLDENBRIDGE CONVENT,Saint Vincent Street West,Goldenbridge,Inchicore,Dublin 8,Dublin,Dublin City Council,Tonya,Hanly,D08AY94,53.3366415,-6.3190564,14541265,ololns.ias@gmail.com,primary
07551C,BALLINDERREEN MXD N S,Ballinderreen,Kilcolgan,Co. Galway,NULL,Galway,Galway County Council,Barry,Quinn,H91F292,53.1849544,-8.9098064,91796632,info@ballinderreenns.ie,primary
07626H,S N AN IORBALL RIABAIGH,Urblereagh,Malin Head,Co. Donegal,NULL,Donegal,Donegal County Council,Ronan,Ruddy,F93PN44,55.3360596,-7.2878238,749370237,urblereaghns@yahoo.co.uk,primary
07636K,ST FINTANS N S,New Line Road,Mountrath,Co. Laois,NULL,Laois,Laois County Council,Edel,Parkinson,R32ET78,52.9986259,-7.4788203,578732372,saintfintansbns@gmail.com,primary
07651G,ST JOSEPH'S GIRLS NATIONAL SCHOOL,Convent Road,Clonakilty,Co. Cork,NULL,Cork,Cork County Council,Darina,Scally,P85AX90,51.6260391,-8.8808829,238833050,info@stjosephsclon.com,primary
07722D,ST PETERS N S SNR,Excise Street,Athlone,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Anne,Fagan,N37XY50,53.4218106,-7.9420892,906492363,stpetersgns@gmail.com,primary
07737Q,VILLIERSTOWN N S,Villierstown,Cappoquin,Co. Waterford,NULL,Waterford,Waterford County Council,Josephine,O'Neill,P51NY00,52.0882445,-7.850768,2496301,villierstownns@gmail.com,primary
07751K,MONAGHAN MODEL SCHOOL,North Road,Monaghan,NULL,NULL,Monaghan,Monaghan County Council,Linda,Mills,H18EC56,54.2511178,-6.9721702,4783070,modelsch.ias@gmail.com,primary
07790U,CHURCHTOWN N S,Churchtown,Athy,Co. Kildare,NULL,Kildare,Kildare County Council,Breda,Fitzpatrick,R14VE89,53.0093311,-7.0516426,598632178,churchathy@gmail.com,primary
07841L,KILGOBNET N S,Beaufort,Killarney,Co. Kerry,NULL,Kerry,Kerry County Council,Maura,O'Connor,V93DW26,52.0655656,-9.7295107,646644622,kilgobnetnationalschool@gmail.com,primary
07857D,S N AILBHE,Killinure,Brittas,Co. Limerick,NULL,Limerick,Limerick County Council,Carmel,Power,V94T184,999,999,61351377,snailbhe@gmail.com,primary
07900B,BALLYSTEEN N S,Ballysteen,Askeaton,Co. Limerick,NULL,Limerick,Limerick County Council,Mary,C Flannery,V94Y078,52.6468164,-8.951776,61398383,ballysteenns@gmail.com,primary
07949I,S N OSMANN,Model School Road,Birr,Co. Offaly,NULL,Offaly,Offaly County Council,Audrey,Colton,R42T271,53.0994539,-7.9144953,579120706,oxmantownns@eircom.net,primary
07990F,SCOIL NAOMH CARTHACH,Ballyfinane,Firies,Killarney,Co Kerry,Kerry,Kerry County Council,Catherine,O'Shea,V93NP26,52.1708717,-9.596077,669764044,ballyfinanens@hotmail.com,primary
08037Q,TANG N S,Clogher,Tang,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Caitriona,Behan,N39H266,53.5351792,-7.7927649,906432495,tangns1@gmail.com,primary
08099P,ST LAURENCES NATIONAL SCHOOL,Sallins,Co. Kildare,NULL,NULL,Kildare,Kildare County Council,Noel,Lanigan,W91AD80,53.2483774,-6.6614967,45879119,info@sallinsns.ie,primary
08100U,S N PHADRAIG,Edmonstown,Killucan,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Máirtín,Ó hÁinle,N91FX92,53.5136852,-7.1427857,449374411,edmontonns@gmail.com,primary
08143P,S N MHUIRE,Bawn Road,Swanlibar,Co. Cavan,NULL,Cavan,Cavan County Council,Ciara,Murphy,H14KX84,54.1937636,-7.7047113,499521613,office@swanlinbarns.ie,primary
08147A,Scoil an Ghleanna Pobal Scoil Náisi,Aghort The Glen,Baile an Sceilg,Co. Chiarraí,NULL,Kerry,Kerry County Council,Sorcha,Ní Chatháin,V23KV63,999,999,669479330,priomhoide@scoilanghleannapsn.ie,primary
08221J,ST SENANS NATIONAL SCH,Templeshannon,Enniscorthy,Co. Wexford,NULL,Wexford,Wexford County Council,Oona,Rackard,Y21EV70,52.504536,-6.5566341,539234169,info@stsenansps.ie,primary
08251S,SCOIL NAOMH MICHEAL,West End,Sneem,Co. Kerry,NULL,Kerry,Kerry County Council,Áine,Murphy,V93X243,51.8385167,-9.9043117,646645000,sneemns@gmail.com,primary
08302J,HOLY TRINITY NATIONAL SCHOOL,Newport Road,Westport,Co. Mayo,NULL,Mayo,Mayo County Council,Orla,Brickenden,F28FP64,53.8017782,-9.5213563,9827216,school@holytrinityns.com,primary
08342V,BOHERMORE N S,Srahane,Ballysimon,Co. Limerick,NULL,Limerick,Limerick County Council,Maria,Anketell,V94EF60,52.6111579,-8.5250538,61351020,bohermorens.ias@eircom.net,primary
08379V,GORTANUMERA N S,Ballyshrule,Ballinasloe,Co. Galway,NULL,Galway,Galway County Council,Anne,Ryan,H53PW70,53.1125288,-8.2878757,909741624,scoilmhuiregortanumera@gmail.com,primary
08390J,MASTERSONS N S,Church Lane,Manorhamilton,Co. Leitrim,NULL,Leitrim,Leitrim County Council,Zara,Leslie,F91YD86,54.3051287,-8.1728495,719855540,mastersonns@gmail.com,primary
08393P,S N RATH DUBH,Rathduff,Grenagh,Co. Cork,NULL,Cork,Cork County Council,Alan,Dennehy,T23X029,52.0167102,-8.5831059,214886388,rathdubhns@eircom.net,primary
08419H,ARDPATRICK N S,Ardpatrick,Kilmallock,Co. Limerick,NULL,Limerick,Limerick County Council,Deirdre,Finn,V35CC64,52.3434276,-8.5188954,6391411,ardpatrickns@gmail.com,primary
08430S,SCOIL NAOMH SEOSAMH,Gortnaclohy,Skibberreen,Co. Cork,NULL,Cork,Cork County Council,Cáit,Uí Raghallaigh,P81A364,51.5489214,-9.2457269,2821804,stjosskibb.ias@eircom.net,primary
08446K,SN TULLACH UI CHADHAIN,Tulach Uí Chadhain,Maigh Cuilinn,Co. na Gaillimhe,NULL,Galway,Galway County Council,Brian,MacLochlainn,H91WD98,53.3387481,-9.1814776,91555601,scoilnaomhbride@gmail.com,primary
08453H,S N CRUABANAI,Crubany,Co. Cavan,NULL,NULL,Cavan,Cavan County Council,Antonia,Hayes,H12NY64,53.9637748,-7.3229896,494362202,crubany.ias@eircom.net,primary
08490N,ST CLARES PRIMARY SCHOOL,Ard Mhuire,Cavan,NULL,NULL,Cavan,Cavan County Council,Alma,Leonard,H12DR74,53.9924444,-7.3565801,494332671,admin@stclarescavan.ie,primary
08512U,IOMAIR N S,Killimor,Ballinasloe,Co. Galway,NULL,Galway,Galway County Council,Aisling,Thornton,H53DP95,53.159153,-8.2017784,909676428,killimorns@yahoo.ie,primary
08530W,LAURAGH NATIONAL SCHOOL,Lauragh Lower,Co. Kerry,NULL,NULL,Kerry,Kerry County Council,Eoghan,O'Sullivan,V93HC84,51.7640706,-9.7774158,646683578,lauraghns@gmail.com,primary
08572P,BRUREE NATIONAL SCHOOL,Bruree,Co. Limerick,NULL,NULL,Limerick,Limerick County Council,Gerard,Kelleher,V35EK64,52.4228841,-8.6491696,6390896,office@brureens.ie,primary
08673V,THE HUNT N S,Castle Street,Mohill,Co. Leitrim,NULL,Leitrim,Leitrim County Council,Hazel,Dunne,N41XW81,53.9226451,-7.8650864,719631326,huntnsmohill@gmail.com,primary
08687J,S N MUIRE GAN SMAL,Coars,Mastergeehy,Co. Kerry,NULL,Kerry,Kerry County Council,Michael,O'Sullivan,V23Y597,51.9404602,-10.1117716,669472647,coars@eircom.net,primary
08791E,LISSIVIGEEN MXD N S,Lissivigeen,Killarney,Co. Kerry,NULL,Kerry,Kerry County Council,Michael,McAuliffe,V93AH63,52.0511318,-9.4588459,646632579,lissivigeenscoil@gmail.com,primary
08828B,KILCORNEY MIXED N S,Kilcorney,Rathcoole,Mallow,Co. Cork,Cork,Cork County Council,Róisín,Crowley,P51PE86,52.0941821,-8.9734088,2958380,kilcorneynationalschool@gmail.com,primary
08926B,ST NICHOLAS CHURCH OF IRELAND SCHOO,Blackabbey,Adare,Co. Limerick,NULL,Limerick,Limerick County Council,Margaret,Brickenden,V94E622,52.567839,-8.784765,61396683,stnicholasadare.ias@eircom.net,primary
08948L,MILLTOWN N S,Monea,Milltown,Co. Cavan,NULL,Cavan,Cavan County Council,Keith,Conefrey,H14AK74,54.0648764,-7.4752867,499522802,milltownns@gmail.com,primary
08972I,CASTLEALACK N S,Castlelack,Bandon,Co. Cork,NULL,Cork,Cork County Council,Oonagh,O'Sullivan,P72A327,51.7803174,-8.7394361,238843786,castlelackns@gmail.com,primary
09009Q,ROCKFIELD N S,Rockfield National School,Knocknashangan,Ballyshannon,NULL,Donegal,Donegal County Council,Benny,Byrne,F94TD25,54.4831575,-8.1192776,719852860,rockfieldns@gmail.com,primary
09040K,NEWTOWNWHITE Educate Together NS,Ballysakeery,Ballina,Co. Mayo,NULL,Mayo,Mayo County Council,Catherine,Boland,F26TP63,54.1869044,-9.1795375,9632728,newtownwhite@gmail.com,primary
09069L,S N AN BHAIN MHOIR,Cloghaun,Claregalway,Co. Galway,NULL,Galway,Galway County Council,Máire,Regan-Walsh,H91WY22,53.3762503,-8.944668,91798600,info@bawnmorens.ie,primary
09132P,CARNANE MXD N S,Carnane,Fedamore,Co. Limerick,NULL,Limerick,Limerick County Council,Mary,McGlinchey,V35V520,52.5712485,-8.5811768,61390343,carnane.ias@eircom.net,primary
09161W,OUR LADY OF MERCY N S,Summerhill,Bantry,Co. Cork,NULL,Cork,Cork County Council,Maria,Power,P75XE75,51.6789948,-9.4437041,2750590,olomnsmpower@gmail.com,primary
09184L,SHIELBEGGAN CONVENT,Shielbaggan,New Ross,Co. Wexford,NULL,Wexford,Wexford County Council,Patricia,Foran,Y34Y656,52.2621221,-6.8810477,51562410,shielbagganns.ias@gmail.com,primary
