,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,County,Local Authority,Eircode,Principal Name,Email,Phone,DEIS (Y/N),Gaeltacht Area Location (Y/N),Island Location (Y/N),Fee Paying School (Y/N),Pupil Attendance Type,School Gender - Post Primary,Irish Classification - Post Primary,Post Primary School Type,Ethos/Religion,FEMALE,MALE,TOTAL (2019-20),School,Unnamed: 0,FullAddress,Latitude,Longitude
63,60562I,Templeogue College,Templeville Road,Dublin 6W,,,Dublin,South Dublin County Council,D6WE622,MS. NIAMH QUINN,info@templeoguecollege.ie,014905788,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,678.0,678,"Templeogue College, Templeville Road, Dublin 6W",63,"Templeville Rd, Dublin, Ireland",53.3041375,-6.3119162
64,60570H,Terenure College,Templeogue Road,Terenure,Dublin 6w,,Dublin,Dublin City Council,D6WDK72,FR. EANNA RISTEARD O HOBAIN,fr.eanna@terenurecollege.ie,014997000,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,688.0,688,"Terenure College, Templeogue Road, Terenure",64,"Templeogue Rd, Terenure, Dublin, D6W DK72, Ireland",53.3038,-6.2942162
65,60581M,St Kevins College,Ballygall Rd East,Finglas,Dublin 11,,Dublin,Dublin City Council,D11VF10,MS. SARAH BARRY,info@stkevinscollege.com,018371423,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,534.0,534,"St Kevins College, Ballygall Rd East, Finglas",65,"Ballygall Rd E, Ballygall, Dublin 11, Ireland",53.3853781,-6.2778091
66,60590N,St Conleths College,28 Clyde Road,Ballsbridge,Dublin 4,,Dublin,Dublin City Council,D04FT98,MR. DONAL E O DULAING,odulaingd@stconleths.ie,016680022,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,73.0,211.0,284,"St Conleths College, 28 Clyde Road, Ballsbridge",66,"28 Clyde Rd, Dublin, D04 FT98, Ireland",53.3279611,-6.2403492
67,60630W,St Kilian's Deutsche Schule,Roebuck Road,Clonskeagh,Dublin 14,,Dublin,Dun Laoghaire Rathdown,D14P7F2,MISS ALICE LYNCH,alice.lynch@kilians.com,012883323,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,INTER DENOMINATIONAL,181.0,222.0,403,"St Kilian's Deutsche Schule, Roebuck Road, Clonskeagh",67,"14 Roebuck Rd, Roebuck, Dublin, D14 P7F2, Ireland",53.30376219999999,-6.2295964
68,60640C,Sandford Park School Ltd,Sandford Road,Ranelagh,Dublin 6,,Dublin,Dublin City Council,D06FN29,MISS EDITH ANN MARIE BYRNE,ebyrne@sandfordparkschool.ie,014971417,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,INTER DENOMINATIONAL,158.0,245.0,403,"Sandford Park School Ltd, Sandford Road, Ranelagh",68,"Ranelagh, Dublin 6, Ireland",53.3228313,-6.249779699999999
69,60650F,St Andrews College,Booterstown Ave,Blackrock,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A94XN72,MS. JOAN KIRBY,information@st-andrews.ie,012882785,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,PRESBYTERIAN,508.0,483.0,991,"St Andrews College, Booterstown Ave, Blackrock",69,"55 Booterstown Ave, Williamstown, Dublin, A94 P2N7, Ireland",53.306436,-6.1976358
70,60660I,St Patricks Cathedral Grammar School,St Patricks Close,Dublin 8,,,Dublin,Dublin City Council,D08WK19,MR. TIMOTHY GILL,principal@spcgs.ie,014543388,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,107.0,111.0,218,"St Patricks Cathedral Grammar School, St Patricks Close, Dublin 8",70,"St Patrick's Close, Dublin, Ireland",53.3390348,-6.271552499999999
71,60670L,The High School,Danum,Zion Road,Rathgar,Dublin,Dublin,Dublin City Council,D06YR68,MR. ANDREW FORREST,office@highschool.ie,014922611,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,336.0,394.0,730,"The High School, Danum, Zion Road",71,"Danum, Zion Rd, Rathgar, Dublin 6, D06 YR68, Ireland",53.3059009,-6.272958699999999
72,60690R,Dominican College,"204, Griffith Ave",Drumcondra,Dublin 9,,Dublin,Dublin City Council,D09A5X0,MISS OLIVE LAFFOY,admin@dominican-college.com,018376080,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,744.0,,744,"Dominican College, 204, Griffith Ave, Drumcondra",72,"204 Griffith Ave, Drumcondra, Dublin 9, Ireland",53.3743641,-6.249518
73,60700R,Scoil Chaitriona,Bóthar Mobhí,Glasnaíon,Ath Cliath 9,,Dublin,Dublin City Council,D09TW99,MS. CARMEL GRAY,oifig@scoilchaitriona.ie,018370762,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Secondary,CATHOLIC,253.0,217.0,470,"Scoil Chaitriona, Bóthar Mobhí, Glasnaíon",73,"St Mobhi Rd, Glasnevin, Drumcondra, Dublin 9, D09 TW99, Ireland",53.37454409999999,-6.262306700000001
74,60710U,Muckross Park College,Donnybrook,Dublin 4,,,Dublin,Dublin City Council,D04CF59,MISS ANNE MARIE MEE,ammee@muckrossparkcollege.com,014914033,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,707.0,,707,"Muckross Park College, Donnybrook, Dublin 4",74,"Marlborough Road, Donnybrook, Dublin 4, Ireland",53.321763,-6.242490399999999
75,60720A,Saint Dominic's Secondary School,Ballyfermot,Dublin 10,,,Dublin,Dublin City Council,D10RD29,MS. SARAH GREEN,MCosgrove@stdominicsballyfermot.com,016266493,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,295.0,,295,"Saint Dominic's Secondary School, Ballyfermot, Dublin 10",75,"10 Kylemore Rd, Chapelizod, Ballyfermot, Co. Dublin, Ireland",53.3445522,-6.3472355
76,60731F,St Dominics College,Cabra,Dublin 7,,,Dublin,Dublin City Council,D07NX47,MISS ANN.B. CAMERON,admin@stdominics.ie,018385282,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,800.0,,800,"St Dominics College, Cabra, Dublin 7",76,"Ratoath Rd, Ashtown, Dublin 7, D07 NX47, Ireland",53.3714993,-6.3075605
77,60732H,Caritas College,Drumfinn Road,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,D10RR94,MISS SANDRA ANTOINETTE DOYLE,info@caritascollege.ie,016265927,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,188.0,,188,"Caritas College, Drumfinn Road, Ballyfermot",77,"10 Drumfinn Rd, Drumfinn, Dublin 10, Ireland",53.348866,-6.358626999999999
78,60741I,St Michaels Secondary School,Wellmount Road,Finglas,Dublin 11,,Dublin,Dublin City Council,D11H521,MR. JOHN B BARRY,stmichaelshf11@gmail.com,018341767,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,623.0,,623,"St Michaels Secondary School, Wellmount Road, Finglas",78,"Wellmount Rd, Finglas West, Dublin, D11 K2C3, Ireland",53.3868506,-6.3014674
79,60750J,Holy Faith Secondary School,1 Belgrove Road,Clontarf,Dublin 3,,Dublin,Dublin City Council,D03R528,MISS DEIRDRE GOGARTY,admin@holyfaithclontarf.com,018331507,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,645.0,,645,"Holy Faith Secondary School, 1 Belgrove Road, Clontarf",79,"178-180 Clontarf Rd, Clontarf, Dublin, D03 VP04, Ireland",53.360006,-6.1978615
80,60770P,St Mary's Secondary School,St. Mary's Secondary School,Holy Faith Convent,Glasnevin,Dublin 11,Dublin,Dublin City Council,D11X478,MISS BERNADETTE BOURKE,office@stmaryshfg.ie,018374413,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,811.0,,811,"St Mary's Secondary School, St. Mary's Secondary School, Holy Faith Convent",80,"75 Frederick St, Port of Spain, Trinidad and Tobago",10.6588353,-61.5104862
81,60791A,St Marys Secondary School,Brookwood Meadow,Killester,Dublin 5,,Dublin,Dublin City Council,D05K588,MS. EVELYN MC LOUGHLIN,admin@hfk.ie,018310963,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,319.0,,319,"St Marys Secondary School, Brookwood Meadow, Killester",81,"Brookwood Meadow, Clontarf West, Dublin 5, Co. Dublin, D05 K588, Ireland",53.3790414,-6.201694799999999
82,60792C,Presentation College,Presentation Secondary School,Clarence Mangan Road,Warrenmount,Dublin.8.,Dublin,Dublin City Council,D08W0X7,MS. GWENDOLEN BRENNAN,info@warrenmountss.ie,014547520,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,169.0,,169,"Presentation College, Presentation Secondary School, Clarence Mangan Road",82,"Clarence Mangan Rd, Warrenmount, Dublin 8, D08 W0X7, Ireland",53.33597719999999,-6.2778127
83,60800V,Loreto College,Crumlin Road,Dublin 12,,,Dublin,Dublin City Council,D12E196,MS. MARY ELLEN MURPHY,secretary@loretocrumlin.ie,014542380,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,400.0,,400,"Loreto College, Crumlin Road, Dublin 12",83,"12 Crumlin Rd, Crumlin, Dublin 12, Ireland",53.329421,-6.297683
84,60810B,Loreto College,Swords,Rivervalley,Swords Co Dublin,,Dublin,Fingal County Council,K67Y319,MR. PETER MCNAMARA,office@loretoswords.ie,018407025,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,629.0,,629,"Loreto College, Swords, Rivervalley",84,"River Valley, Swords, Co. Dublin, Ireland",53.4543605,-6.2450791
85,60820E,Loreto College,53 St Stephens Green,Dublin 2,,,Dublin,Dublin City Council,D02XE79,MS. JACQUELINE DEMPSEY,info@loretothegreen.ie,016618179,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,562.0,,562,"Loreto College, 53 St Stephens Green, Dublin 2",85,"53 St Stephen's Green, Saint Peter's, Dublin 2, D02 XE79, Ireland",53.33682830000001,-6.256351899999999
86,60840K,Maryfield College,Glandore Road,Drumcondra,Dublin 9,,Dublin,Dublin City Council,D09AE64,MS. MAREE O ROURKE,admin@maryfieldcollege.ie,018373574,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,592.0,,592,"Maryfield College, Glandore Road, Drumcondra",86,"Sion Hill Rd, Grace Park, Dublin, Ireland",53.3760038,-6.235164999999999
87,60841M,Rosary College,Armagh Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,D12R726,MS. JEAN DOYLE,rosarycollegeinfo@gmail.com,0861618405,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,80.0,105.0,185,"Rosary College, Armagh Road, Crumlin",87,"Armagh Rd, Crumlin, Dublin, D12 V6RK, Ireland",53.3187376,-6.3074433
88,60843Q,St Josephs Secondary School,Stanhope Street,off Manor Street,Dublin 7,,Dublin,Dublin City Council,D07YP03,MR. JOHN OBRIEN,info@stanhopesecondary.ie,016710419,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,191.0,,191,"St Josephs Secondary School, Stanhope Street, off Manor Street",88,"7 Stanhope St, Stoneybatter, Dublin 7, Ireland",53.3526,-6.2819048
89,60851P,Assumption Secondary School,Walkinstown,Dublin 12,,,Dublin,Dublin City Council,D12PK75,MS. SIOBHAIN HOEY,assumptionsecretary@hotmail.com,014507017,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,251.0,,251,"Assumption Secondary School, Walkinstown, Dublin 12",89,"62 Walkinstown Rd, Walkinstown, Dublin 12, D12 P3F6, Ireland",53.3225312,-6.331985299999999
90,60853T,Mount Carmel Secondary School,King's Inns Street,Dublin 1,,,Dublin,Dublin City Council,D01W657,MR. GERARD CULLEN,info@mountcarmel.ie,018730958,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,400.0,,400,"Mount Carmel Secondary School, King's Inns Street, Dublin 1",90,"King's Inns St, Rotunda, Dublin 1, D01 W657, Ireland",53.3520287,-6.2687145
91,60860Q,Our Ladys School,Templeogue Road,Terenure,Dublin 6W,,Dublin,South Dublin County Council,D6WKF44,MS. MARGUERITE GORBY,principal@olschool.ie,014903241,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,764.0,,764,"Our Ladys School, Templeogue Road, Terenure",91,"Templeogue Rd, Templeogue Village, Ballyboden, Co. Dublin, D6W, Ireland",53.3004921,-6.2961531
92,60870T,Our Lady Of Mercy College,Beaumont,Dublin 9,,,Dublin,Dublin City Council,D09V327,MS. ROSEMARY LYNCH,secretary@mercybeaumont.com,018371478,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,385.0,,385,"Our Lady Of Mercy College, Beaumont, Dublin 9",92,"Beaumont Rd, Beaumont, Dublin 9, Ireland",53.38567920000001,-6.230495899999999
93,60871V,Mercy College Coolock,St Brendan's Drive,Malahide Road,Coolock,Dublin 5,Dublin,Dublin City Council,D05C958,MS. PATRICIA DWYER,info@mercycoolock.ie,018480888,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,427.0,,427,"Mercy College Coolock, St Brendan's Drive, Malahide Road",93,"St Brendan's Dr, Donaghmede, Dublin, Ireland",53.3862514,-6.199621899999999
94,60872A,Mercy Secondary School,Thomas Davis Street West,Inchicore,Dublin 8,,Dublin,Dublin City Council,D08Y4X0,MS. MICHELLE O' KELLY,info@mercyinchicore.ie,014531262,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,156.0,,156,"Mercy Secondary School, Thomas Davis Street West, Inchicore",94,"Thomas Davis St W, Inchicore, Dublin, Ireland",53.3373353,-6.3218796
95,60890C,St Louis High School,Charleville Road,Rathmines,Dublin 6,Dubllin 6,Dublin,Dublin City Council,D06F860,MS. CLIONA MCDONOUGH,stlouishs.rathmines@gmail.com,014975458,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,679.0,,679,"St Louis High School, Charleville Road, Rathmines",95,"6 Charleville Rd, Rathmines, Dublin, Ireland",53.3215157,-6.270575699999999
96,60891E,Our Lady's Grove Secondary School,Our Lady's Grove,Goatstown Road,Dublin 14,,Dublin,Dun Laoghaire Rathdown,D14AK75,MR. COLM DOOLEY,office@olgrove.ie,012951913,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,304.0,,304,"Our Lady's Grove Secondary School, Our Lady's Grove, Goatstown Road",96,"Goatstown Rd, Friarland, Dublin 14, D14 AK75, Ireland",53.3007165,-6.235068399999999
97,60892G,The Teresian School,12 Stillorgan Road,Donnybrook,Dublin 4,,Dublin,Dublin City Council,D04E9X5,MISS DEIRDRE MARIE HICKEY,secretary@teresian.ie,012691376,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,198.0,,198,"The Teresian School, 12 Stillorgan Road, Donnybrook",97,"12 Stillorgan Rd, Dublin 4, D04 E9X5, Ireland",53.3149227,-6.2279599
98,60902G,St Pauls Secondary School,Greenhills,Dublin 12,,,Dublin,South Dublin County Council,D12E544,Majella Deasy,info@stpaulsg.ie,014505682,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,449.0,,449,"St Pauls Secondary School, Greenhills, Dublin 12",98,"Limekiln Ln, Greenhills, Dublin, D12 E544, Ireland",53.3089898,-6.3304914
99,60910F,Alexandra College,Milltown,Dublin 6,,,Dublin,Dublin City Council,D06KX50,MRS. BARBARA ENNIS,info@alexandracollege.ie,014977571,N,N,N,Y,Mixed,Girls,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,589.0,,589,"Alexandra College, Milltown, Dublin 6",99,"Milltown Rd, Rathmines, Milltown, Co. Dublin, Ireland",53.31093449999999,-6.2483265
100,60930L,Rosemont School,Enniskerry Road,Sandyford,Dublin 18,,Dublin,Dun Laoghaire Rathdown,D18A8N2,MS. JANET DEAN,info@rosemont.ie,012078007,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,182.0,,182,"Rosemont School, Enniskerry Road, Sandyford",100,"Enniskerry Rd, Sandyford, Dublin, Ireland",53.2610648,-6.2287431
101,60991I,Our Lady Of Mercy Secondary School,Mourne Road,Drimnagh,Dublin 12,,Dublin,Dublin City Council,D12HT22,MR. PADHRAIC GIBBONS,admin@olmdrimnagh.com,014554691,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,122.0,185.0,307,"Our Lady Of Mercy Secondary School, Mourne Road, Drimnagh",101,"12 Mourne Rd, Drimnagh, Dublin, Ireland",53.3307204,-6.3195953
102,61010U,Wesley College,Ballinteer,Dublin 16,,,Dublin,Dun Laoghaire Rathdown,D16NX73,MR. CHRISTOPHER WOODS,info@wesleycollege.ie,012987066,N,N,N,Y,Mixed,Mixed,No subjects taught through Irish,Secondary,METHODIST,469.0,459.0,928,"Wesley College, Ballinteer, Dublin 16",102,"36 R826, Sandyford, Dublin, Ireland",53.2785599,-6.2420009
103,61020A,Stratford College,1 Zion Road,Rathgar,Dublin 6,Ireland,Dublin,Dublin City Council,D06T9V3,MS. P. GORDON,admin@stratfordcollege.ie,014922315,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,JEWISH,67.0,81.0,148,"Stratford College, 1 Zion Road, Rathgar",103,"1 Zion Rd, Rathfarnham, Dublin 6, D06 T9V3, Ireland",53.3097011,-6.2743134
104,61051L,St Clare's College,Ballyjamesduff,Co. Cavan,,,Cavan,Cavan County Council,A82NT92,MS. TERESA DONNELLAN,stclaresbjd@gmail.com,0498544551,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,311.0,302.0,613,"St Clare's College, Ballyjamesduff, Co. Cavan",104,"Virginia Rd, Kilmore, Ballyjamesduff, Co. Cavan, Ireland",53.8653275,-7.197610999999999
105,61060M,St Patrick's College,Cullies,Cavan,Co. Cavan,,Cavan,Cavan County Council,H12K827,MR. CHRISTOPHER ROWLEY,info@stpatscavan.ie,0494361888,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,739.0,739,"St Patrick's College, Cullies, Cavan",105,"Cullies, Co. Cavan, Ireland",54.0097605,-7.3516469
106,61070P,Loreto College,Cavan,Co. Cavan,,,Cavan,Cavan County Council,H12WV60,MS. MARY ANGELA MC GARVEY,office@loretocavan.ie,0494332881,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,700.0,,700,"Loreto College, Cavan, Co. Cavan",106,"Loreto College, Drumlark, Cavan, H12 WV60, Ireland",54.0127666,-7.373701700000001
107,61080S,Royal School Cavan,College Street,Cavan,Co. Cavan,,Cavan,Cavan County Council,H12AY10,MR. EDWARD LINDSAY,info@royalschoolcavan.ie,0494361605,N,N,N,Y,Mixed,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,110.0,122.0,232,"Royal School Cavan, College Street, Cavan",107,"College St, Tullymongan Upper, Cavan, Ireland",53.9844935,-7.361756600000001
108,61120E,St Mary's Academy CBS,Railway Rd,Carlow,,,Carlow,Carlow County Council,R93DD88,MS. ANNE B.T. AHERN,principal@cbscarlow.net,0599142419,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,498.0,498,"St Mary's Academy CBS, Railway Rd, Carlow",108,"Railway Rd, Rathnapish, Carlow, Ireland",52.8411987,-6.9234051
109,61130H,St Mary's Knockbeg College,Knockbeg,Co. Carlow,,,Carlow,Carlow County Council,R93RP78,MR. MICHAEL CAREW,info@knockbegcollege.ie,0599142127,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,439.0,439,"St Mary's Knockbeg College, Knockbeg, Co. Carlow",109,"Knockbeg, Carlow, Ireland",52.867315,-6.937733799999999
110,61140K,St. Leo's College,Dublin Road,Carlow,,,Carlow,Carlow County Council,R93PW84,MS. NIAMH GALLAGHER (BRODERICK),nbroderick@stleoscarlow.ie,0599143660,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,1031.0,,1031,"St. Leo's College, Dublin Road, Carlow",110,"Old Dublin Rd, Graigue, Carlow, R93 R5X5, Ireland",52.839996,-6.9274908
111,61141M,Presentation College,Askea,Carlow,Co. Carlow,,Carlow,Carlow County Council,R93F298,MR. RAYMOND MURRAY,info@presentationcollegecarlow.com,0599143927,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,410.0,393.0,803,"Presentation College, Askea, Carlow",111,"Askea, Carlow, R93 F298, Ireland",52.8370177,-6.9086865
112,61150N,Presentation / De La Salle College,Royal Oak Road,Muine Bheag,Co. Carlow,,Carlow,Carlow County Council,R21X096,MR. JOHN KEANE,info@pdlsbagenalstown.com,0599721860,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,337.0,394.0,731,"Presentation / De La Salle College, Royal Oak Road, Muine Bheag",112,"Presentation De La Salle College, Royal Oak Rd, Muine Bheag, Co. Carlow, Ireland",52.70090459999999,-6.9701113
113,61220I,St. Joseph's Secondary School,Doon Road,Ballybunion,Co. Kerry,,Kerry,Kerry County Council,V31RT61,MR. JOHN G O'DONOVAN,principal@sjsb.eu,06827205,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,130.0,191.0,321,"St. Joseph's Secondary School, Doon Road, Ballybunion",113,"R551, Doon West, Co. Kerry, Ireland",52.5172998,-9.6738562
114,61250R,Meanscoil Phadraig Naofa,College Road,Castleisland,Co. Kerry,,Kerry,Kerry County Council,V92PY65,MR. DENIS J O'DONOVAN,info@stpatscastleisland.com,0667141963,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,197.0,197,"Meanscoil Phadraig Naofa, College Road, Castleisland",114,"College Rd, Knockananlig, Castleisland, Co. Kerry, Ireland",52.2345409,-9.4578999
115,61260U,Mean Scoil Naomh Ioseph,Presentation Secondary School,Castleisland,Co. Kerry,,Kerry,Kerry County Council,V92KC97,MS. KATHERINA BRODERICK,info@presentationcastleisland.ie,0667141178,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,245.0,,245,"Mean Scoil Naomh Ioseph, Presentation Secondary School, Castleisland",115,"Church St, Chapel Quarter, Castleisland, Co. Kerry, Ireland",52.2302027,-9.4624887
116,61301I,Coláiste Íde,Baile an Ghóilín,Daingean Uí Chúis,Co Chiarraí,,Kerry,Kerry County Council,V92E432,MISS ÁINE NÍ CHEARBHAILL,info@colaisteide.com,0669151211,N,Y,N,N,Boarding,Girls,All pupils taught all subjects through Irish,Secondary,CATHOLIC,100.0,,100,"Coláiste Íde, Baile an Ghóilín, Daingean Uí Chúis",116,"Coláiste Íde, Burnham West, Dingle, Co. Kerry, Ireland",52.1271115,-10.3052475
117,61320M,St. Brendan's College,Cill Airne,Co Chiarraí,,,Kerry,Kerry County Council,V93FP49,MR. SEAN PAUL COFFEY,admin@stbrendanscollege.ie,0646631021,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,,761.0,761,"St. Brendan's College, Cill Airne, Co Chiarraí",117,"New Rd, Inch, Killarney, Co. Kerry, Ireland",52.06101169999999,-9.5169263
118,61340S,St. Brigid's Secondary School,New Street,Killarney,Co. Kerry,,Kerry,Kerry County Council,V93ND79,MS. ROISIN MOORE,info@sbk.ie,0646632209,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,633.0,,633,"St. Brigid's Secondary School, New Street, Killarney",118,"New St, Monearmore, Killarney, Co. Kerry, Ireland",52.0585011,-9.515911
