,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,School,FullAddress,Latitude,Longitude
72,02278I,MILLSTREET CONVENT N S,West End,Millstreet,Co. Cork,,Cork,Cork County Council,2970957,Siobhán Uí Bhuachalla,millpns@gmail.com,P51V599,N,N,N,No subjects through Irish,Catholic,173.0,46.0,219,"MILLSTREET CONVENT N S, West End, Millstreet","Millstreet, Drominahilla, Millstreet, Co. Cork, Ireland",52.05892129999999,-9.0657421
73,02322I,ST OLIVERS NS,Dundalk Street,Carlingford,Co. Louth,,Louth,Louth County Council,429373405,Eileen Mary Pike,info@stoliversns.ie,A91NW92,N,N,N,No subjects through Irish,Catholic,83.0,83.0,166,"ST OLIVERS NS, Dundalk Street, Carlingford","Dundalk St, Liberties of Carlingford, Carlingford, Co. Louth, Ireland",54.03713219999999,-6.184393699999999
74,02358G,TEMPLEGLANTINE N S,Templeglantine East,Co. Limerick,,,Limerick,Limerick County Council,6984300,Ann Leonard,glantine.ias@eircom.net,V94KC56,N,N,N,No subjects through Irish,Catholic,27.0,24.0,51,"TEMPLEGLANTINE N S, Templeglantine East, Co. Limerick","Templeglantine, Templeglentan East, Templeglantine, Co. Limerick, Ireland",52.3946392,-9.180080499999999
75,02413L,S N NAOMH EOIN,Rath,Fivealley,Birr,Co. Offaly,Offaly,Offaly County Council,579133011,Maria Davis,sneoinrath@eircom.net,R42HN30,N,N,N,No subjects through Irish,Catholic,66.0,54.0,120,"S N NAOMH EOIN, Rath, Fivealley","Scoil Náisiúnta Naomh Eoin, Páirceanna an Bhaile, Biorra, Co. Contae Uíbh Fhailí, Ireland",53.0980052,-7.909688200000001
76,02418V,Knockaderry Farranfore National School,Farranfore,Killarney,Co. Kerry,,Kerry,Kerry County Council,669764729,Áine Daly,knockaderryfarranforens@gmail.com,V93NF44,N,N,N,No subjects through Irish,Catholic,28.0,38.0,66,"Knockaderry Farranfore National School, Farranfore, Killarney","Farranfore, Co. Kerry, Ireland",52.1715992,-9.5477977
77,02428B,LACKAMORE N S,Lackamore,Newport,Co. Tipperary,,Tipperary,Tipperary (Nr) County Council,61378360,Karen O'Brien,lackamorens@gmail.com,V94V5D1,N,N,N,No subjects through Irish,Catholic,24.0,21.0,45,"LACKAMORE N S, Lackamore, Newport","Newport, Co. Tipperary, V94 V5D1, Ireland",52.69482499999999,-8.3222579
78,02439G,S N MHUIRE,Bauroe,Feakle,Co. Clare,,Clare,Clare County Council,61924116,Marion Mahon,feaklens@gmail.com,V94R8Y1,N,N,N,No subjects through Irish,Catholic,29.0,32.0,61,"S N MHUIRE, Bauroe, Feakle","Baurroe, Feakle, Co. Clare, Ireland",52.9260682,-8.6486521
79,02452V,CLOYNE NATIONAL SCHOOL,Cloyne,Co. Cork,,,Cork,Cork County Council,214652567,Mary O'Brien,secretary@cloynens.com,P25K220,N,N,N,No subjects through Irish,Catholic,153.0,167.0,320,"CLOYNE NATIONAL SCHOOL, Cloyne, Co. Cork","Cloyne, Spital, Cloyne, Co. Cork, Ireland",51.861739,-8.1276595
80,02670I,SAN ISADOIR,Nodstown South,Boherlahan,Cashel,Co. Tipperary,Tipperary,Tipperary (Sr) County Council,50441184,Mary O'Donnell,boherlahanns@gmail.com,E25KX75,N,N,N,No subjects through Irish,Catholic,59.0,50.0,109,"SAN ISADOIR, Nodstown South, Boherlahan","Boherlahan, Nodstown South, Cashel, Co. Tipperary, Ireland",52.5722306,-7.8932312
81,02707F,SUNDAYS WELL G N S,Strawberry Hill,Blarney Road,Cork,,Cork,Cork City Council,214396632,Liz Horgan,sundayswellgns@gmail.com,T23K704,N,Y,N,No subjects through Irish,Catholic,176.0,4.0,180,"SUNDAYS WELL G N S, Strawberry Hill, Blarney Road","Strawberry Hill, Sunday's Well, Old Blarney Road, Co. Cork, Ireland",51.9008895,-8.5003618
82,02745N,TALLONSTOWN N S,Tallanstown,Dundalk,Co. Louth,,Louth,Louth County Council,429374419,Patricia Smyth,tallanstownns@gmail.com,A91YX04,N,N,N,No subjects through Irish,Catholic,135.0,190.0,325,"TALLONSTOWN N S, Tallanstown, Dundalk","Tallanstown National School, Rathbrist, Tallanstown, Co. Louth, Ireland",53.9194496,-6.549706599999999
83,02793B,S N MULLACH BUI,Castletowncooley,Riverstown,Co. Louth,,Louth,Louth County Council,429376202,Maireád Egan,mullaghbuoyns@gmail.com,A91H319,N,N,N,No subjects through Irish,Catholic,27.0,36.0,63,"S N MULLACH BUI, Castletowncooley, Riverstown","Riverstown, Loughanmhór, Co. Louth, Ireland",54.0052896,-6.2237442
84,02803B,BANTEER N S,Banteer,Co. Cork,,,Cork,Cork County Council,2956262,Jane Daly,office@banteerns.ie,P51TK64,N,N,N,No subjects through Irish,Catholic,95.0,120.0,215,"BANTEER N S, Banteer, Co. Cork","Clonmeen Road, Banteer, Co. Cork, Ireland",52.1311925,-8.890767799999999
85,02813E,S N SHEANAIN,Corgrigg,Foynes,Co. Limerick,,Limerick,Limerick County Council,6965117,Alan Kilcoyne,stsenans@yahoo.ie,V94NX50,N,N,N,No subjects through Irish,Catholic,43.0,47.0,90,"S N SHEANAIN, Corgrigg, Foynes","Ballynacragga North, Foynes, Co. Limerick, Ireland",52.6105253,-9.1051123
86,02872U,St. Mary's National School,Lamb's Cross,Sandyford,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12954173,Fergus Lyons,saintmarys@eircom.net,D18XV90,N,N,N,No subjects through Irish,Catholic,124.0,141.0,265,"St. Mary's National School, Lamb's Cross, Sandyford","Lambs Cross, Woodside, Dublin 18, Ireland",53.2641698,-6.2294117
87,02889O,S N AN CHLAIS MHOR,Clashmore,Co. Waterford,,,Waterford,Waterford County Council,2496404,Yvonne Uí Fhlaithimhín,clashmorens19@gmail.com,P36ET78,N,N,N,No subjects through Irish,Catholic,42.0,49.0,91,"S N AN CHLAIS MHOR, Clashmore, Co. Waterford","Clash, Ballinclamper, Co. Waterford, Ireland",52.0861865,-7.561983700000001
88,02905J,S N NAOMH PADRAIG,Baconstown,Enfield,Co. Meath,,Meath,Meath County Council,469541115,Cathal Fenton,baconstownns@gmail.com,A83F863,N,N,N,No subjects through Irish,Catholic,91.0,74.0,165,"S N NAOMH PADRAIG, Baconstown, Enfield","Baconstown, Enfield, Co. Meath, Ireland",53.444229,-6.803101
89,02912G,SCOIL NA GCOILLINI,Meelick,Swinford,Co. Mayo,,Mayo,Mayo County Council,949384214,Deborah Convey,meelickns1@gmail.com,F12TW53,N,N,N,No subjects through Irish,Catholic,45.0,42.0,87,"SCOIL NA GCOILLINI, Meelick, Swinford","Meelick, Loughane, Co. Mayo, Ireland",53.9224386,-9.0187502
90,03132I,S N SLIABH A MHADRA,Ballyduff,Tralee,Co. Kerry,,Kerry,Kerry County Council,667131742,Breda O'Dwyer,slmhadrans@gmail.com,V92WF40,N,N,N,No subjects through Irish,Catholic,75.0,72.0,147,"S N SLIABH A MHADRA, Ballyduff, Tralee","Slievawaddra, Ballyduff, Co. Kerry, Ireland",52.4606155,-9.7163034
91,03220F,MERCY PRIMARY SCHOOL,Chapel Lane,Birr,Co. Offaly,,Offaly,Offaly County Council,579120259,Barbara Hanamy,principalmercyps@gmail.com,R42TX89,N,Y,N,No subjects through Irish,Catholic,144.0,,144,"MERCY PRIMARY SCHOOL, Chapel Lane, Birr","Chapel Lane, Seefin, Birr, Co. Offaly, R42 TX89, Ireland",53.09317650000001,-7.9092669
92,03275H,NEWTOWN N S,Newtown,Ardee,Co. Meath,,Meath,Meath County Council,469053322,Bridget O'Sullivan,newtownnsardee92@gmail.com,A92PW80,N,N,N,No subjects through Irish,Catholic,37.0,46.0,83,"NEWTOWN N S, Newtown, Ardee","Newtown National School, Bigstown, Ardee, Co. Meath, Ireland",53.8203016,-6.6079867
93,03294L,S N CAISEAL NA GCORR,Gort a Choirce,Leitir Ceanainn,Co. Dhún na nGall,,Donegal,Donegal County Council,749165129,Róisín Ní Chuireáin,scoilchaisealnagcorr@gmail.com,F92YY24,Y,Y,N,All subjects through Irish,Catholic,20.0,23.0,43,"S N CAISEAL NA GCORR, Gort a Choirce, Leitir Ceanainn","Gortahork, Co. Donegal, Ireland",55.1200955,-8.1332033
94,03359N,BALLYROAN B N S,Ballyroan Road,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,14931805,Desmond Morris,secretary@ballyroanbns.ie,D16YX54,N,N,N,No subjects through Irish,Catholic,,401.0,401,"BALLYROAN B N S, Ballyroan Road, Rathfarnham","Ballyroan Rd, Willbrook, Dublin 16, Ireland",53.2863418,-6.294406299999999
95,03607G,S N AINDREIS NAOFA,Leitrim,Kylebrack East,Loughrea,Co. Galway,Galway,Galway County Council,91847470,Francis Duggan,leitrimschool@gmail.com,H62KN83,N,N,N,No subjects through Irish,Catholic,60.0,46.0,106,"S N AINDREIS NAOFA, Leitrim, Kylebrack East","Liathdruim, Kylebrack, Loughrea, Co. Galway, Ireland",53.1399803,-8.4664135
96,03633H,SCOIL NÁISIÚNTA BHANTIARNA LOURDES,Hospital Hill,Bunclody,Enniscorthy,Co. Wexford,Wexford,Wexford County Council,539377380,Tomás Moriarty,secretarybunclodyns@gmail.com,Y21R820,N,Y,N,No subjects through Irish,Catholic,117.0,151.0,268,"SCOIL NÁISIÚNTA BHANTIARNA LOURDES, Hospital Hill, Bunclody","Bunclody, Ballinapark, Bunclody, Co. Wexford, Ireland",52.6550857,-6.652193
97,03704E,S N SEAN BAILE MOR,Main Street,Shanballymore,Co. Cork,,Cork,Cork County Council,2225611,John Walsh,shanballymorens@gmail.com,P51VW63,N,N,N,No subjects through Irish,Catholic,28.0,38.0,66,"S N SEAN BAILE MOR, Main Street, Shanballymore","Shanballymore Lower, Shanballymore, Co. Cork, Ireland",52.2187977,-8.4759914
98,03787L,WALSHESTOWN N S,Walshestown,Clogherhead,Co. Louth,,Louth,Louth County Council,416852285,Anne Marie Swinburne,walshestownschool@gmail.com,A92CD53,N,N,N,No subjects through Irish,Catholic,65.0,53.0,118,"WALSHESTOWN N S, Walshestown, Clogherhead","Walshestown, Co. Louth, Ireland",53.80603989999999,-6.307699700000001
99,03898U,TOONAGH N S,Fountain,Ennis,Co. Clare,,Clare,Clare County Council,656820143,Gearóid Roughan.,toonaghschool@gmail.com,V95DF88,N,N,N,No subjects through Irish,Catholic,54.0,49.0,103,"TOONAGH N S, Fountain, Ennis","Toonagh, Ennis, Co. Clare, Ireland",52.8903185,-9.0347438
100,03917V,NAOMH PADRAIG BOYS,Cambridge Road,Ringsend,Dublin 4,,Dublin,Dublin City Council,16606825,Ian Lane,ringsendbns@gmail.com,D04AP98,N,Y,N,No subjects through Irish,Catholic,,137.0,137,"NAOMH PADRAIG BOYS, Cambridge Road, Ringsend","Cambridge Rd, Dublin, D04 AP98, Ireland",53.3433918,-6.2253548
101,03924S,OWENBEG N S,Owenbeg,Culleens,Co. Sligo,,Sligo,Sligo County Council,9649253,Aileen Donagher McGowan,owenbegns@gmail.com,F26VK13,N,Y,N,No subjects through Irish,Catholic,30.0,26.0,56,"OWENBEG N S, Owenbeg, Culleens","Unnamed Rd, Shannonspark West, Easky, Co. Sligo, Ireland",54.286325,-8.9623692
102,03928D,MULLACH N S,Mullagh,Ennis,Co. Clare,,Clare,Clare County Council,657087472,Áine Sexton,principal@mullaghschool.ie,V95HN22,N,Y,N,No subjects through Irish,Catholic,20.0,28.0,48,"MULLACH N S, Mullagh, Ennis","Mullagh, Finnor More, Ennis, Co. Clare, Ireland",52.7996527,-9.4200258
103,03936C,S N AN CHUIL,Coole,Mullingar,Co. Westmeath,,Westmeath,Westmeath County Council,449661669,Orla Oxley,coolescoilmhuire@gmail.com,N91E3FN,N,N,N,No subjects through Irish,Catholic,20.0,28.0,48,"S N AN CHUIL, Coole, Mullingar","Fearmore, Coole, Co. Westmeath, Ireland",53.6992601,-7.3666546
104,04005G,S N NAOMH PEADAR,Pouldine,Thurles,Co. Tipperary,,Tipperary,Tipperary (Nr) County Council,50444439,Ann Marie Carroll,office@moycarkeyns.ie,E41FY66,N,N,N,No subjects through Irish,Catholic,69.0,69.0,138,"S N NAOMH PEADAR, Pouldine, Thurles","Thurles, Co. Tipperary, Ireland",52.6801064,-7.8044421
105,04054T,BALLINDANGAN MIXED N S,Ballindangan,Mitchelstown,Co. Cork,,Cork,Cork County Council,2584654,Peter Dineen,ballindangan.ias@eircom.net,P67EW90,N,N,N,No subjects through Irish,Catholic,9.0,11.0,20,"BALLINDANGAN MIXED N S, Ballindangan, Mitchelstown","Ballindangan National School, Flemingstown, Mitchelstown, Co. Cork, Ireland",52.236282,-8.336495
106,04062S,LISTOWEL PRESENTATION PRIMARY,Ballybunion Road,Listowel,Co. Kerry,,Kerry,Kerry County Council,6822294,Joan Mulvihill,office@ppslistowel.ie,V31CX52,N,N,N,No subjects through Irish,Catholic,243.0,,243,"LISTOWEL PRESENTATION PRIMARY, Ballybunion Road, Listowel","Listowel, Co. Kerry, Ireland",52.4486895,-9.4961491
107,04067F,CONVENT OF MERCY,Church Road,Newport,Co. Tipperary,,Tipperary,Tipperary (Nr) County Council,61378622,Miriam Foley,newportconvent.ias@eircom.net,V94X7F9,N,N,N,No subjects through Irish,Catholic,211.0,85.0,296,"CONVENT OF MERCY, Church Road, Newport","Sisters of Saint Joseph of Annecy, 173 Chepstow Rd, Newport NP19 8GH, UK",51.58978150000001,-2.9762643
108,04075E,MOYGLASS N S,Moyglass,Fethard,Co. Tipperary,,Tipperary,Tipperary (Sr) County Council,526131885,Michael Hayes,adminmoyglassns@gmail.com,E91VY15,N,N,N,No subjects through Irish,Catholic,68.0,59.0,127,"MOYGLASS N S, Moyglass, Fethard","Moyglass, Moglass, Fethard, Co. Tipperary, Ireland",52.5277526,-7.7081838
109,04077I,SCOIL NAIS BHRIDE,Grange,Tullow,Co. Carlow,,Carlow,Carlow County Council,599163881,Leah Mulhall,grangens@ymail.com,R93FX22,N,N,N,No subjects through Irish,Catholic,103.0,120.0,223,"SCOIL NAIS BHRIDE, Grange, Tullow","Grange Beg, Shillelagh Rd, Grangewat, Tullow, Co. Carlow, Ireland",52.837568,-6.7821554
110,04118T,LEAMLARA MIXED N S,Leamlara,Co. Cork,,,Cork,Cork County Council,214642430,Shane Fennessy,leamlara.n.s@gmail.com,T56NH57,N,N,N,No subjects through Irish,Catholic,82.0,96.0,178,"LEAMLARA MIXED N S, Leamlara, Co. Cork","Clash West, Leamlara, Co. Cork, Ireland",51.96986,-8.2639146
111,04152T,S N CNOC AN BHILE,Knockavilla,Innishannon,Co. Cork,,Cork,Cork County Council,214775662,Orla O'Shea,knockavillaschool@gmail.com,T12F981,N,N,N,No subjects through Irish,Catholic,65.0,85.0,150,"S N CNOC AN BHILE, Knockavilla, Innishannon","Knockavilla, Knockgorm, Co. Cork, Ireland",51.8008055,-8.6848101
112,04186N,S N BHIORAINN,Berrings,Co. Cork,,,Cork,Cork County Council,217332101,Liam Walsh,berringsns.ias@eircom.net,P12FX45,N,N,N,No subjects through Irish,Catholic,85.0,110.0,195,"S N BHIORAINN, Berrings, Co. Cork","Gortatray, Berrings, Co. Cork, Ireland",51.9374329,-8.6974398
113,04210H,KILMESSAN MXD N S,Kilmessan,Co. Meath,,,Meath,Meath County Council,469025532,Brian Mullins,info@kilmessanns.ie,C15TE28,N,N,N,No subjects through Irish,Catholic,128.0,106.0,234,"KILMESSAN MXD N S, Kilmessan, Co. Meath","Ringlestown, Kilmessan, Co. Meath, Ireland",53.5607122,-6.6626897
114,04230N,SCOIL NAOMH EOIN,Ballincurrig,Cork,,,Cork,Cork County Council,214642222,Paul Davis,principalballincurrigns@gmail.com,T56KR89,N,N,N,No subjects through Irish,Catholic,49.0,38.0,87,"SCOIL NAOMH EOIN, Ballincurrig, Cork","Scoil Naomh Eoin, Ballincurrig, Co. Cork, Ireland",51.9892109,-8.228012999999999
115,04442F,KYLE N S,Kyle,Youghal,Co. Cork,,Cork,Cork County Council,2495198,Joanna Kelly,kylens.ias@eircom.net,P36WR52,N,N,N,No subjects through Irish,Catholic,20.0,9.0,29,"KYLE N S, Kyle, Youghal","Kyle House, Kyle, Youghal, Co. Cork, Ireland",51.9531544,-7.941984300000001
116,04466T,BALLYMARTIN N S,Manister,Croom,Co Limerick,,Limerick,Limerick County Council,61397220,Peter Lavin,manister.ns@hotmail.com,V35EK54,N,N,N,No subjects through Irish,Catholic,46.0,50.0,96,"BALLYMARTIN N S, Manister, Croom","Granagh, Manister, Co. Limerick, Ireland",52.45026,-8.74915
117,04469C,S N FIODHNACH,Feenagh,Kilmallock,Co. Limerick,,Limerick,Limerick County Council,6385225,Diarmuid O'Connor,feenaghns@eircom.net,V35FN44,N,N,N,No subjects through Irish,Catholic,33.0,29.0,62,"S N FIODHNACH, Feenagh, Kilmallock","Gortmore, Feenagh, Co. Limerick, Ireland",52.3901188,-8.880106699999999
118,04487E,S N NAITHI NAOFA,Achonry,Tubbercurry,Co. Sligo,,Sligo,Sligo County Council,719184395,Cora Kievlehan,achonryns.ias@eircom.net,F91WF65,N,N,N,No subjects through Irish,Catholic,41.0,45.0,86,"S N NAITHI NAOFA, Achonry, Tubbercurry","Achonry, Tubbercurry, Co. Sligo, Ireland",54.08011579999999,-8.6606961
119,04506F,SCOIL NA NGASUR,Maree Road,Oranmore,Co. Galway,,Galway,Galway County Council,91790312,Maeve Meeneghan,info@oranmoreboysns.ie,H91Y763,N,N,N,No subjects through Irish,Catholic,,266.0,266,"SCOIL NA NGASUR, Maree Road, Oranmore","Maree Rd, Oran More, Oranmore, Co. Galway, Ireland",53.2640706,-8.9309954
120,04515G,SCOIL AN LINBH IOSA,St Francis Street,Galway,,,Galway,Galway City Council,91566452,Norena Jordan,info@mercyprimary.ie,H91RX32,N,Y,N,No subjects through Irish,Catholic,137.0,68.0,205,"SCOIL AN LINBH IOSA, St Francis Street, Galway","St Francis St, Galway, Ireland",53.27575299999999,-9.053799699999999
121,04548V,SCOIL SEANAIN NAOFA,Clonlara,Co. Clare,,,Clare,Clare County Council,61354299,Donnchadh Kelleher,office@clonlarans.ie,V94FP92,N,N,N,No subjects through Irish,Catholic,138.0,176.0,314,"SCOIL SEANAIN NAOFA, Clonlara, Co. Clare","Cloonlara, Co. Clare, Ireland",52.7242526,-8.5543906
122,04578H,BALLYVONGANE MIXED N S,Ballyvongane,"Aghinagh,",Coachford,,Cork,Cork County Council,2648188,Liam Buckley,ballyvonganens@gmail.com,P12YD30,N,N,N,No subjects through Irish,Catholic,12.0,16.0,28,"BALLYVONGANE MIXED N S, Ballyvongane, Aghinagh,","Ballyvongane National School, Bealnamorrive, Coachford, Co. Cork, Ireland",51.93198229999999,-8.8591582
123,04620D,THOMASTOWN N S,Ardobireen,Thomastown,Golden,Co. Tipperary,Tipperary,Tipperary (Sr) County Council,6272471,Marie Donovan,thomastownnationalschool@gmail.com,E25F840,N,N,N,No subjects through Irish,Catholic,48.0,34.0,82,"THOMASTOWN N S, Ardobireen, Thomastown","4 Árd Mhuire, Ardobireen, Golden, Co. Tipperary, E25 ET96, Ireland",52.4934094,-8.0190559
124,04796R,BRACKLOON N S,Brackloon,Westport,Co. Mayo,,Mayo,Mayo County Council,9821902,Brendan Tunney,brackloonnationalschool@gmail.com,F28E8Y9,N,Y,N,No subjects through Irish,Catholic,74.0,78.0,152,"BRACKLOON N S, Brackloon, Westport","Tawnynameeltoge, Brackloon, Co. Mayo, F28 E8Y9, Ireland",53.7545927,-9.5641037
125,04800F,ROOSKEY N S,Rooskey,Carrick-on-Shannon,Co. Roscommon,,Roscommon,Roscommon County Council,719638774,Mellory Tighe,rooskeyns@gmail.com,N41DH36,N,N,N,No subjects through Irish,Catholic,64.0,56.0,120,"ROOSKEY N S, Rooskey, Carrick-on-Shannon","Rooskey, Roosky, Carrick On Shannon, Co. Leitrim, Ireland",53.8322125,-7.927311999999999
126,04802J,CLOONACOOL N S,Cloonacool,Tubbercurry,Co. Sligo,,Sligo,Sligo County Council,719185709,Deirdre Kelly,stmichaelsns9@gmail.com,F91TV07,N,N,N,No subjects through Irish,Catholic,55.0,59.0,114,"CLOONACOOL N S, Cloonacool, Tubbercurry","Leitrim North, Cloonacool, Co. Sligo, Ireland",54.100753,-8.7778571
127,04809A,SCOIL AN AINGIL CHOIMHEADAI,"An Céideadh,",Ailt An Chorráin,Leitir Ceanainn,Co Dhún na nGall,Donegal,Donegal County Council,749542268,Maire Ní Chómhaill,saac.ceideadh@gmail.com,F94W084,Y,Y,N,All subjects through Irish,Catholic,17.0,12.0,29,"SCOIL AN AINGIL CHOIMHEADAI, An Céideadh,, Ailt An Chorráin","Burtonport, Co. Donegal, Ireland",54.9973526,-8.4185728
128,04919H,CRATLOE N S,Cratloe,Co. Clare,,,Clare,Clare County Council,61357111,Dr Susan Frawley,cratloenationalschool@gmail.com,V95V596,N,N,N,No subjects through Irish,Catholic,130.0,153.0,283,"CRATLOE N S, Cratloe, Co. Clare","Cratloe Woods, Laghile, Co. Clare, Ireland",52.6995085,-8.7554178
129,04953H,BALLYHASS MIXED N S,Ballyhass,Cecilstown,Co. Cork,,Cork,Cork County Council,2227937,Elizabeth Ronayne,ballyhassmixedns@gmail.com,P51K590,N,N,N,No subjects through Irish,Catholic,79.0,110.0,189,"BALLYHASS MIXED N S, Ballyhass, Cecilstown","Cecilstown, Two Gneeves, Mallow, Co. Cork, Ireland",52.1741854,-8.804743
130,04992R,SCOIL AN CROI NAOFA,St Canice's Road,Ballygall,Dublin 11,,Dublin,Dublin City Council,18379586,Dermot Murphy,shbns1ballygall@gmail.com,D11XE17,N,N,N,No subjects through Irish,Catholic,,457.0,457,"SCOIL AN CROI NAOFA, St Canice's Road, Ballygall","St Canice's Rd, Glasnevin, Dublin, Ireland",53.3840933,-6.2738992
131,05062A,KELLS PAROCHIAL N S,Navan Road,Kells,Co. Meath,,Meath,Meath County Council,469241308,Katie Mason,kellsparochialns@gmail.com,A82RK49,N,N,N,No subjects through Irish,Church Of Ireland,37.0,37.0,74,"KELLS PAROCHIAL N S, Navan Road, Kells","Carrick St, Gardenrath, Kells, Co. Meath, Ireland",53.7246994,-6.8670271
132,05070W,S N BAILE MUIRNE,Ballymurn,Enniscorthy,Co. Wexford,,Wexford,Wexford County Council,539138435,Emer O'Gorman,office@ballymurnns.ie,Y21PR60,N,N,N,No subjects through Irish,Catholic,69.0,49.0,118,"S N BAILE MUIRNE, Ballymurn, Enniscorthy","Enniscorthy, Co. Wexford, Ireland",52.5068183,-6.581974600000001
133,05115S,S N AN LEANA MOR,Lenamore,Co. Longford,,,Longford,Longford County Council,449357867,Margo Smith,lenamore.ns@hotmail.com,N39NN60,N,Y,N,No subjects through Irish,Catholic,22.0,23.0,45,"S N AN LEANA MOR, Lenamore, Co. Longford","Legan, Smithfield, Lenamore, Co. Longford, Ireland",53.6212481,-7.6308386
134,05120L,LEHINCH N S,Lissatava,Hollymount,Claremorris,Co. Mayo,Mayo,Mayo County Council,949540444,Sheila Jennings,Lehinchprimary@gmail.com,F12FT92,N,Y,N,No subjects through Irish,Catholic,3.0,5.0,8,"LEHINCH N S, Lissatava, Hollymount","Lissatava, Hollymount, Co. Mayo, F12 FT92, Ireland",53.6595962,-9.0749359
135,05144C,NEW INN B N S,New Inn,Cashel,Co. Tipperary,,Tipperary,Tipperary (Sr) County Council,527462336,Eilish Hennessy,newinnbns@gmail.com,E25VP64,N,N,N,No subjects through Irish,Catholic,,76.0,76,"NEW INN B N S, New Inn, Cashel","Cashel, Co. Tipperary, Ireland",52.51590969999999,-7.8915829
136,05164I,SCOIL NAOMH CHOLMCILLE,Oileán Thoraí,Co. Dhún na nGall,,,Donegal,Donegal County Council,749165174,Anna Uí Bhaoill,scoilcholmcille@yahoo.ie,F92XV52,Y,Y,Y,All subjects through Irish,Catholic,8.0,7.0,15,"SCOIL NAOMH CHOLMCILLE, Oileán Thoraí, Co. Dhún na nGall","Scoil Naomh Cholmcille, Tory Island, Co. Donegal, Ireland",55.265006,-8.2245634
137,05220P,S N MICHIL NAOFA,Woodbrook,Carrick-on-Shannon,Co. Roscommon,,Roscommon,Roscommon County Council,719621771,Catherine Hand,woodbrookns@gmail.com,N41XD40,N,N,N,No subjects through Irish,Catholic,11.0,14.0,25,"S N MICHIL NAOFA, Woodbrook, Carrick-on-Shannon","Carrick-On-Shannon, Co. Leitrim, Ireland",53.94511559999999,-8.0861878
